biome,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Tropical & subtropical moist broadleaf forests,-0.09475993895093335,-0.09754406973727367,-0.16683204444373242,-0.030090507234249102,0.14320505983208096,0.06600411287268926,0.0017877082174899226,0.5777567483975998,0.40816326530612246,0.0030227513591274437,0.002783497646152805,-8.06441977563235e-4,0.010524524053549839,0.607965119930586,0.6078040476075062,0.46299764550898814,0.7219369227797531,mammals,specialization_3th
Deserts and xeric shrublands,-0.20603600511297873,-0.20267203333587924,-0.26305547612903996,-0.14503731317819657,9.378942055625686e-4,1.5223232039329737e-4,2.3109819479172348e-7,0.0077035395683068796,1,0.019240909166354413,0.01755568485642811,0.008128280606957118,0.033706719065574674,0.09289920856834864,0.13094686074464695,NA,0.3559527740318209,birds,specialization_3th
Flooded grasslands and savannas,0.020286997918281018,0.02302688683807213,-0.02537532929254517,0.07075652435489424,0.6669237366189883,0.6713317906165079,0.25086002442541544,0.9902611239474499,0,-0.0012326522274774033,-0.00144025546619243,-0.001757200733173904,5.774670220482419e-4,0.2530206652758904,0.2508309771586605,0.1257507190492558,0.40792559720293237,birds,specialization_3th
Mangroves,-0.022332767752219967,-0.023892091257592583,-0.04953082961623809,0.001789841884321511,0.550287033111986,0.511217699566901,0.17555382402827027,0.946260628612757,0,-5.65127971873876e-4,-6.625994736582573e-4,-0.0011625141381688764,9.793416464926774e-4,0.09638112681880565,0.0956372191758491,0.028297853947372973,0.2172715822882792,birds,specialization_3th
Mediterranean forests woodlands and scrub,-0.09723293592756575,-0.09298199430100862,-0.20183446196902471,-0.013717369515421282,0.5161448911028321,0.5186178033463511,0.14380442401857402,0.8893911629335891,0,-0.008955342063197098,-0.01297912492690037,-0.02227053719019739,0.026290945954060976,1e-6,1e-6,NA,0.4811602372683766,birds,specialization_3th
Montane grasslands and shrublands,-0.11663407340300523,-0.1174202323531443,-0.157942381959845,-0.08115296673199825,0.01600092101609384,0.008040228816488465,4.2231340512878805e-4,0.07390749145160866,0.9489795918367347,0.007948000179390787,0.007905642049264526,0.002887485577017266,0.014949462814578107,0.06858050849513025,0.06865866264019625,NA,0.18389518429000548,birds,specialization_3th
Temperate broadleaf & mixed forests,-0.025992899090392648,-0.02357039903302027,-0.0950918867826698,0.03685814717793832,0.684040534898925,0.7142999220059028,0.19830004922475747,0.9933962484886891,0.010101010101010102,-0.007885196590962141,-0.01028195846323063,-0.01190393144360047,0.00797414172445608,1e-6,1e-6,NA,0.2488167783402696,birds,specialization_3th
Temperate grasslands savannas and shrublands,-0.02242399275984005,-0.02247456382606927,-0.08264648534849375,0.051967873782770894,0.749311307312759,0.7760478911740578,0.40227613002179746,0.9856921416053577,0,-0.0031065884371205828,-0.00345349787854348,-0.0037581826153854766,-0.0011026031809850626,0.03279703861299755,0.05038289587396387,NA,0.2692602561053147,birds,specialization_3th
Tropical & subtropical coniferous forests,0.05746045132305168,0.05807164967078471,0.028684624147545926,0.09028131931190489,0.3445548631879306,0.31332294700048235,0.11557342843541663,0.6268203872757739,0,1.9336903556159212e-4,6.384365224113926e-5,-0.002451895084324454,0.004755758855481056,1e-6,1e-6,NA,0.11271053814563783,birds,specialization_3th
Tropical & subtropical dry broadleaf forests,-0.06737131289211806,-0.0667236729417181,-0.09821056409439072,-0.03898008485738803,0.09710960690865404,0.07416724219571758,0.007409399153535553,0.292751327174824,0.3711340206185567,0.0019091483494360162,0.00170542559210094,8.503338009042121e-5,0.004826612049061421,0.1053394689903938,0.10411039097175598,0.03110942648453289,0.23170440301434794,birds,specialization_3th
Tropical & subtropical grasslands savannas and shrublands,-0.11292250534228138,-0.11160283467221116,-0.1620071843132594,-0.07776128568660622,0.017963884132545484,0.010900815305291186,1.8128960062737675e-4,0.07486173013023767,0.93,0.006133143387064,0.00571360520201469,0.0022680521986886823,0.013513631309061972,0.16003256713303413,0.15938327998971463,0.07035306717521744,0.29010346170274165,birds,specialization_3th
Tropical & subtropical moist broadleaf forests,-0.05854999903595146,-0.05824880351154848,-0.0826045078984978,-0.04245203368320514,0.03494845889961915,0.02730359253674263,0.001607862745968664,0.10470341569836374,0.7676767676767676,0.0023530040244795344,0.00222094879203905,9.373948180625357e-4,0.005126841577344332,0.15962995027203625,0.15819854683088877,0.06143038308188491,0.2987607632669187,birds,specialization_3th
Deserts and xeric shrublands,0.02083647266100879,0.021225212063259134,-0.09919949924190549,0.12766033384009912,0.5442299563065252,0.5731473821325075,0.07643481170849474,0.9673417218626486,0.02040816326530612,-5.388453684929343e-4,-0.00144101569570741,-0.0021105415254511744,0.004569251609800241,0.5940815519942342,0.5953450665407705,0.4084765376961319,0.7360966989251556,reptiles,specialization_spe
