term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.027089951896257,0.01071118383353612,-2.529127715224143,0.01154116329144905,0.00374913170113572,0.6039456534574307,0.49544535475043344,0.6965824546561192,group,int,w.marginality
Beta,-0.03106213906545718,0.01208749265626386,-2.569775217142362,0.01027678380372187,0.00389256049617797,0.6040774904548981,0.49569235787941607,0.6966264876538522,group,high,w.marginality
Beta,-0.01483969738848848,0.00989610302711072,-1.4995496053178314,0.13395137689467873,8.69987942270885e-4,0.6043163591430885,0.4930599753893738,0.6988027352553988,group,low,w.marginality
Beta,-0.0161188585428267,0.01077326965899398,-1.4961900196538758,0.13482434216088834,8.629816590934243e-4,0.6047565333242366,0.4936707089724113,0.6991057744662754,group,int,w.marginality
Beta,-0.01827660288034936,0.01207828548419705,-1.513178580210084,0.13045480903821183,8.985707952517126e-4,0.6051972684174526,0.49428468283973376,0.69940942367808,group,high,w.marginality
Beta,-0.01332753910761424,0.00965301720004025,-1.3806604537655502,0.16759868597769034,6.315557587547329e-4,0.6533137582448159,0.5505385547919716,0.7371366490834634,group,low,w.marginality
Beta,-0.01398769497083231,0.01051137553914963,-1.3307197444078671,0.18349294449182807,5.372391395742288e-4,0.6539055080521798,0.5513370841100024,0.7375511534840733,group,int,w.marginality
Beta,-0.01504007012652926,0.01177302575625961,-1.2775025246617324,0.2016318161787587,4.4053993980540927e-4,0.6545348669999231,0.5521764272222979,0.7379967022158098,group,high,w.marginality
Beta,-0.01806955172931452,0.00995628931559669,-1.8148881733487057,0.06975008289985052,0.00159704027914377,0.6400635790177385,0.5386764072956287,0.7246350258807648,group,low,w.marginality
Beta,-0.01908873260262514,0.0108509330470345,-1.7591789129914477,0.07876051254234939,0.00145861580902421,0.6402524050465881,0.5389232646977892,0.7247728180835099,group,int,w.marginality
Beta,-0.02036132713051156,0.01218354808704477,-1.671214902673756,0.09489758116519464,0.00124875891009661,0.6404933328777451,0.5392174404156258,0.7249584594239811,group,high,w.marginality
Beta,-0.03521065211076607,0.01046667857775141,-3.3640712141110254,7.882950702242653e-4,0.00714315161507743,0.6822490061322497,0.5804616404816314,0.762874210965698,group,low,w.marginality
Beta,-0.03869679170539547,0.01141456730136971,-3.390123399662463,7.175985225149617e-4,0.00726409690113619,0.6821258645158919,0.5803691717186416,0.7627557546966656,group,int,w.marginality
Beta,-0.04350334275363055,0.01284812095331113,-3.3859692722163515,7.284613488633962e-4,0.00724475113548398,0.6823069993066888,0.5806401153931674,0.7628738859765527,group,high,w.marginality
Beta,-0.02082991151691898,0.0097210871867986,-2.142755343785657,0.03230077633021255,0.00249820669640079,0.6073486567647733,0.5063650237514798,0.6934381396313902,group,low,w.marginality
Beta,-0.02084098366769682,0.01063583145065059,-1.959506763941994,0.0502470833728359,0.00197632820392787,0.6082752722720011,0.5074686149583146,0.6941961848972092,group,int,w.marginality
Beta,-0.02146026280551415,0.01197951717438733,-1.7914130004669149,0.07343799864347589,0.00153818858627289,0.6091350660936299,0.5084754226711606,0.6948958936351883,group,high,w.marginality
Beta,-0.01140077226412439,0.00987173343279643,-1.154890611840074,0.2483277670915316,2.3270199151266243e-4,0.646556987403376,0.5396368979491141,0.7337632595220716,group,low,w.marginality
Beta,-0.0120740649571574,0.01076928463472961,-1.121157566791394,0.26240864242153794,1.7918287349823146e-4,0.6468446444128193,0.5400275455365531,0.7339646544001236,group,int,w.marginality
Beta,-0.01310071874208535,0.01212218080775602,-1.080722928476965,0.280002225543428,1.1711462853911862e-4,0.6471857392426899,0.5404893088024392,0.73420428889153,group,high,w.marginality
Beta,-0.01542033407369127,0.00972140774621591,-1.5862243901551898,0.11290904012559656,0.00105614127745805,0.6876133591232841,0.5856786832308574,0.767892374931888,group,low,w.marginality
Beta,-0.01606041056148251,0.0105627592721021,-1.5204749202133738,0.12861226248518287,9.139783723637146e-4,0.6878716418842297,0.5860222809936745,0.7680788628660621,group,int,w.marginality
Beta,-0.01674299111968151,0.01180412041909347,-1.4184022633824789,0.15629078882468095,7.051265605983617e-4,0.6882504747692404,0.58651801325005,0.7683579509948425,group,high,w.marginality
Beta,-0.02047602407764161,0.00952858713438408,-2.148904532105657,0.03180905649069987,0.00251651775008534,0.6557121779066445,0.5528840657355846,0.7392130537979542,group,low,w.marginality
Beta,-0.02209119053160713,0.01043656279653046,-2.1167113121717755,0.0344563175571857,0.0024212271815239,0.6559091356412539,0.5531613096019012,0.7393475148597637,group,int,w.marginality
Beta,-0.02443917169097824,0.0117774841375379,-2.0750757467024936,0.03815759281888731,0.00230009440859765,0.6560544268799093,0.5533717153961567,0.7394449177876667,group,high,w.marginality
Beta,-0.00342539411670721,0.00958905279186796,-0.35721923646224285,0.7209802847286388,-6.087346400301872e-4,0.6525492947770765,0.5526790877177066,0.7340722003910308,group,low,w.marginality
Beta,-0.00273054517136224,0.01045754580751863,-0.26110764625090865,0.7940470144095317,-6.502292158121851e-4,0.6528140967479026,0.5530477584964483,0.7342545905649774,group,int,w.marginality
Beta,-0.00150130826979613,0.01174345224672779,-0.12784215733618398,0.8982918245104217,-6.864237014379273e-4,0.653075165522257,0.5534103941770623,0.7344364454826892,group,high,w.marginality
Beta,-0.01811770246437108,0.00993971383921635,-1.822758960412835,0.0685481969228956,0.00161694209221347,0.6190801886376307,0.5097181527193007,0.7105152518698684,group,low,w.marginality
Beta,-0.01900334582871152,0.01083649402245914,-1.753643363741649,0.07970540922641578,0.00144509490394057,0.6197751606997369,0.5105307104742881,0.711061766921525,group,int,w.marginality
