term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.04668642304716966,0.02710977866144599,-1.7221248328952417,0.08526269166897937,0.00136891425818032,0.31553346310296704,0.19723298594474503,0.44034914093442173,group,int,w.specialization
Beta,-0.05180037225695666,0.03062668902606305,-1.6913474457808673,0.0909878985301491,0.00129584731940308,0.315652082517968,0.1972504138391302,0.4405524537243219,group,high,w.specialization
Beta,-0.07738017594085825,0.02490407361741987,-3.1071292644562556,0.00192624690519904,0.00599884016038476,0.4160586757118218,0.2805037208250108,0.546380880102761,group,low,w.specialization
Beta,-0.08048780533923472,0.02725814241431521,-2.95279862126499,0.00320036008055124,0.00535403888849454,0.4174966517949619,0.2818546118094652,0.5477042950858912,group,int,w.specialization
Beta,-0.08485030674964672,0.03078052212114695,-2.7566233742134125,0.00591422691447474,0.00458071437892346,0.41897085523473626,0.2832415219476425,0.549071573945931,group,high,w.specialization
Beta,-0.02625404966080611,0.02469737213410074,-1.0630300875029532,0.2879474103924675,9.06702767174874e-5,0.3789637163669643,0.24451746033574984,0.5137947560767158,group,low,w.specialization
Beta,-0.02689353756341661,0.02692685683064091,-0.9987626009439624,0.3180783246309482,-1.7247358563476088e-6,0.3794575481355956,0.2450101642386789,0.5142169831051153,group,int,w.specialization
Beta,-0.02774616495064661,0.03018525221947586,-0.9191960613383402,0.3581477259006225,-1.081557694987894e-4,0.3799709149077841,0.2455308812628115,0.5146519681140824,group,high,w.specialization
Beta,-0.05929257714087918,0.02418714707620125,-2.4514084672358747,0.01434854025565268,0.00348114714271016,0.3091259396033291,0.18680730108552865,0.44247967727112775,group,low,w.specialization
Beta,-0.06490985249567041,0.02663537827917915,-2.436978811238073,0.01493155100709109,0.00343229712120528,0.3099789349324114,0.1875899437212323,0.4432577141108806,group,int,w.specialization
Beta,-0.07225605021564455,0.03021000081569986,-2.391792395387614,0.01689458753884309,0.00328115871150971,0.31104208312476656,0.18855327899692537,0.4442355584412323,group,high,w.specialization
Beta,-0.05941015784220859,0.02438010149684976,-2.4368297994938697,0.01493767905191978,0.00343179413780313,0.3667136052755688,0.23716708140252396,0.4981609517423531,group,low,w.specialization
Beta,-0.06031426845234707,0.02669326055013236,-2.2595317023587804,0.02399999521139317,0.00285478607864711,0.3680617375371769,0.2382881461173588,0.49952492880111565,group,int,w.specialization
Beta,-0.06338973135293571,0.030079017781378,-2.1074402034557274,0.03525278253369901,0.00239404850901257,0.3692387806465583,0.23930462643312944,0.5006767629996052,group,high,w.specialization
