term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
(Intercept),1.1188805557289436,0.24879547613653435,4.497190114159964,7.5848812461920545e-6,0.00460119807085781,0.6909029030315379,0.568082542957852,0.7847538257990733,Mammals,low,w.marginality
log(low.age + 1),-0.04178368077180924,0.01663831433181579,-2.511292907353629,0.01216557329705447,0.00460119807085781,0.6909029030315379,0.568082542957852,0.7847538257990733,Mammals,low,w.marginality
(Intercept),1.1109488954368374,0.249910704418764,4.44538339412333,9.624163545218778e-6,0.00379554935201269,0.6931674289914661,0.5711067302623399,0.7863064510925459,Mammals,int,w.marginality
log(int.age + 1),-0.04415563077363634,0.01904765985178292,-2.3181656495983267,0.02061551298244524,0.00379554935201269,0.6931674289914661,0.5711067302623399,0.7863064510925459,Mammals,int,w.marginality
(Intercept),1.1043525002286223,0.251247693952836,4.395473179689882,1.2077833386303638e-5,0.0028397877393198,0.6955686053228582,0.574459053115647,0.787905269970152,Mammals,high,w.marginality
log(high.age + 1),-0.05043320899674312,0.02440816794654005,-2.0662431161242565,0.03902961799309334,0.0028397877393198,0.6955686053228582,0.574459053115647,0.787905269970152,Mammals,high,w.marginality
(Intercept),1.791834594043194,0.5617339030512943,3.189828109555235,0.00146214077908979,0.00142518776771049,0.7067094986503197,0.5986162109707442,0.7902710879868093,Mammals,low,w.specialization
log(low.age + 1),-0.05919691961929396,0.03644388100795009,-1.6243308336557345,0.10457996681860492,0.00142518776771049,0.7067094986503197,0.5986162109707442,0.7902710879868093,Mammals,low,w.specialization
(Intercept),1.7847169881412577,0.5617973276465125,3.176798643058367,0.00152883603705378,0.00129198233681342,0.7069749702893546,0.599015792699527,0.7904345682941941,Mammals,int,w.specialization
log(int.age + 1),-0.06569775273613608,0.04167516382662138,-1.5764245825032484,0.1152037358007174,0.00129198233681342,0.7069749702893546,0.599015792699527,0.7904345682941941,Mammals,int,w.specialization
(Intercept),1.7768139173872743,0.5623524557411308,3.159609065893721,0.00162112061502517,9.376975034076478e-4,0.7073776260526807,0.5996246111153762,0.7906986151414175,Mammals,high,w.specialization
log(high.age + 1),-0.07690113572101544,0.05335358259866633,-1.4413490524052963,0.1497590412767158,9.376975034076478e-4,0.7073776260526807,0.5996246111153762,0.7906986151414175,Mammals,high,w.specialization
(Intercept),1.0881152876383735,0.23532023356056225,4.6239767451120395,4.191746888260184e-6,0.00132522395934147,0.6602001530839211,0.5386511860325125,0.756391412680306,Mammals,low,w.marginality
log(low.age + 1),-0.02667796802603855,0.01679429473107351,-1.5885137454851166,0.11244580868171128,0.00132522395934147,0.6602001530839211,0.5386511860325125,0.756391412680306,Mammals,low,w.marginality
(Intercept),1.0796965597362287,0.2363293056660115,4.568610552523232,5.440585308935653e-6,6.307425566183144e-4,0.6624631803672132,0.5415738255099225,0.7580114577449117,Mammals,int,w.marginality
log(int.age + 1),-0.02523977991208581,0.01921975009635339,-1.3132210244957665,0.1893711264945668,6.307425566183144e-4,0.6624631803672132,0.5415738255099225,0.7580114577449117,Mammals,int,w.marginality
(Intercept),1.0735707101482843,0.23741632469150203,4.521890866364301,6.765022579680036e-6,9.960571814911356e-5,0.664624299028702,0.5445243325145678,0.7594892849104381,Mammals,high,w.marginality
log(high.age + 1),-0.02619789206874715,0.02481726018054564,-1.055631922224992,0.2913587059224978,9.960571814911356e-5,0.664624299028702,0.5445243325145678,0.7594892849104381,Mammals,high,w.marginality
(Intercept),1.660326871862081,0.5445670818286058,3.048893198404239,0.0023494934273569,-8.175685178070001e-4,0.6922498730849953,0.5867729547215086,0.7765739659064888,Mammals,low,w.specialization
log(low.age + 1),-0.00913003616026943,0.03660868102564298,-0.24939538668094025,0.803099606760671,-8.175685178070001e-4,0.6922498730849953,0.5867729547215086,0.7765739659064888,Mammals,low,w.specialization
(Intercept),1.6510620928831083,0.5450760937273804,3.029048809667456,0.00250812897611663,-8.645115594107531e-4,0.6929286329085242,0.5877746072081727,0.7769966061269538,Mammals,int,w.specialization
log(int.age + 1),-0.00383358802332495,0.04183290173796932,-0.09164049979935836,0.9269996742813364,-8.645115594107531e-4,0.6929286329085242,0.5877746072081727,0.7769966061269538,Mammals,int,w.specialization
(Intercept),1.648434949230286,0.5453426692462647,3.022750725720105,0.00256049040640604,-8.701957679993911e-4,0.6931292743424884,0.5881489757575175,0.7770876371770482,Mammals,high,w.specialization
log(high.age + 1),-0.00234146954230967,0.05394726213875626,-0.0434029355611643,0.9653878920102076,-8.701957679993911e-4,0.6931292743424884,0.5881489757575175,0.7770876371770482,Mammals,high,w.specialization
(Intercept),1.1031682845844115,0.2452711216103172,4.497750396955038,7.565272620801977e-6,0.00318323737494678,0.6888954487585722,0.5690174263978621,0.7818501437849761,Mammals,low,w.marginality
log(low.age + 1),-0.03562860544083458,0.01649397115592401,-2.1600986872126384,0.03097166567976694,0.00318323737494678,0.6888954487585722,0.5690174263978621,0.7818501437849761,Mammals,low,w.marginality
(Intercept),1.099128456820479,0.24580378993008856,4.471568388482101,8.535444695034755e-6,0.00275532279266533,0.6899827482376812,0.5703550225966968,0.7826504099249301,Mammals,int,w.marginality
log(int.age + 1),-0.03841871209506776,0.01880955225361768,-2.0425107188651235,0.04132916290660549,0.00275532279266533,0.6899827482376812,0.5703550225966968,0.7826504099249301,Mammals,int,w.marginality
(Intercept),1.0983820103346145,0.2464275224836316,4.457221333333707,9.116456254787408e-6,0.00244816814167623,0.6910193035422468,0.5717482669396936,0.7833575990615029,Mammals,high,w.marginality
log(high.age + 1),-0.04721251661488292,0.02416426723376841,-1.9538153653964592,0.05096583781691288,0.00244816814167623,0.6910193035422468,0.5717482669396936,0.7833575990615029,Mammals,high,w.marginality
(Intercept),1.7959684231158213,0.5354017397474405,3.35443142930954,8.212863187373465e-4,0.00285546633351363,0.6892219973426886,0.5839931324016964,0.7727329099719271,Mammals,low,w.specialization
log(low.age + 1),-0.07450587089699608,0.03598241629084164,-2.070618890481781,0.03861773187374506,0.00285546633351363,0.6892219973426886,0.5839931324016964,0.7727329099719271,Mammals,low,w.specialization
(Intercept),1.789492007370256,0.5361460379404386,3.3376951068116516,8.71871731175311e-4,0.00258684698739086,0.6899590864962025,0.5848896319268557,0.7732962001645453,Mammals,int,w.specialization
log(int.age + 1),-0.08182621832363882,0.04102916826803367,-1.9943426049752664,0.04635100657460223,0.00258684698739086,0.6899590864962025,0.5848896319268557,0.7732962001645453,Mammals,int,w.specialization
(Intercept),1.7931253683393484,0.5369965780934259,3.3391746642143088,8.672858566949326e-4,0.00261297971233058,0.690605142087808,0.5856931334654043,0.7737767332987435,Mammals,high,w.specialization
log(high.age + 1),-0.10549856880954182,0.05269951081500029,-2.001888958322416,0.04553181909637271,0.00261297971233058,0.690605142087808,0.5856931334654043,0.7737767332987435,Mammals,high,w.specialization
(Intercept),1.108276881590623,0.25443620988489424,4.3558143005352985,1.4442954101356875e-5,0.00587682930740392,0.704063876131764,0.5819767974832849,0.7958257232644326,Mammals,low,w.marginality
log(low.age + 1),-0.04776412006333444,0.017117136350266,-2.7904270367392487,0.00535109104205333,0.00587682930740392,0.704063876131764,0.5819767974832849,0.7958257232644326,Mammals,low,w.marginality
