term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.11568638470414938,0.02367210483478329,-4.887034148909406,1.0993974883799496e-06,0.0105409189206852,0.24437775885974172,0.14378563258299665,0.35345847693526067,group,int,w.specialization
Beta,-0.12867110173317628,0.0274463126777974,-4.688101576473853,2.930583981264334e-6,0.00967197155741225,0.24773107073952572,0.1472739549135392,0.3564210495637467,group,high,w.specialization
Beta,-0.0991943088572273,0.02156190695458656,-4.600442301608535,4.461616194273432e-6,0.00930006619669259,0.2976756514054506,0.19002606444838713,0.40868940157449263,group,low,w.specialization
Beta,-0.10989451346191637,0.02441707684898144,-4.500723577257389,7.134390250129741e-6,0.00888520237723332,0.3001927687903012,0.19286959952773555,0.41075420083858927,group,int,w.specialization
Beta,-0.1228608437200503,0.02821976607128301,-4.353715881616605,1.40136693631554e-5,0.00828957355429083,0.30273476755002304,0.19559836759431268,0.4129589756878446,group,high,w.specialization
Beta,-0.11334655892058444,0.02115062189905792,-5.3590177849868805,9.263730982311813e-8,0.01274018874098824,0.27824408887331437,0.17064269347840463,0.3911645446876703,group,low,w.specialization
Beta,-0.12352729349329376,0.0239382618411632,-5.1602448963475505,2.693033178680082e-7,0.01179048387685967,0.2818419132836193,0.17443520906270463,0.3942847005728708,group,int,w.specialization
Beta,-0.13565955419572454,0.02759912017589507,-4.915357929207064,9.532920803856372e-7,0.01066744765019841,0.2854422110978565,0.17800983993003408,0.3975770576604705,group,high,w.specialization
Beta,-0.103137496890753,0.02115508715428411,-4.875304750038179,1.1660184329187473e-6,0.01048872571836784,0.22019588051587677,0.12662984966470772,0.3243513809830709,group,low,w.specialization
Beta,-0.11496647179312112,0.02386341074206025,-4.817688176924681,1.5538346902488342e-6,0.01023408709223419,0.22137784676527408,0.12815201327500714,0.32518368439112977,group,int,w.specialization
Beta,-0.12885390941997843,0.02741325351493606,-4.7004238059438155,2.7608656223421235e-6,0.00972479021725877,0.22319284482513532,0.1302040288122787,0.32667409198751607,group,high,w.specialization
Beta,-0.11429422164042484,0.02096178068181424,-5.452505365614418,5.5371465634834756e-8,0.01319861315227122,0.256003523393702,0.15610562527400842,0.3638293046090811,group,low,w.specialization
Beta,-0.1265022159374033,0.02372748265075882,-5.331463847192305,1.0764270075291905e-7,0.01260650814072061,0.25868432997579016,0.15901090899712383,0.3660724761113759,group,int,w.specialization
