tree_id,K,K_pval,lambda,lambda_pval,class
98,0.026670481334575537,0.20500000000000015,0.8896069407612712,9.555998802001367e-35,Mammals
99,0.03874209936953248,0.10900000000000008,0.9910875260900429,4.245845132319526e-126,Mammals
100,0.0530629444901288,0.036000000000000025,0.992576112427085,6.253981486829776e-139,Mammals
1,0.0026928267802737004,0.6720000000000005,0.17146300018560612,2.786286187946263e-7,Birds
2,0.0013757832324633287,0.9070000000000007,0.1567077421317573,3.22105135563738e-7,Birds
3,0.004754935762218455,0.7980000000000006,0.13145148093734915,2.731550306831352e-7,Birds
4,0.0037823669168939203,0.6680000000000005,0.17512375457430648,1.1224311743334319e-7,Birds
5,0.006768245294490328,0.7690000000000006,0.15684179837345086,1.8918091159342299e-6,Birds
6,0.00328823365969774,0.8290000000000006,0.11628482022830627,1.8972300091975746e-6,Birds
7,5.328283359436226e-4,0.7610000000000006,0.11704974641388763,4.405651728507956e-6,Birds
8,0.002551952088090532,0.7760000000000006,0.17397022186168348,2.3826921646960588e-7,Birds
9,0.003544161853358609,0.7490000000000006,0.14560434449374288,2.4596741046264952e-6,Birds
10,0.005766212301222616,0.4870000000000004,0.14048074920770026,1.524315937534679e-7,Birds
11,0.0023239429272863175,0.7010000000000005,0.14955215426207352,1.9361150285822823e-7,Birds
12,0.0015510494473446673,0.8270000000000006,0.16656641434123037,1.0045432808266707e-6,Birds
13,9.190148610728569e-4,0.8030000000000006,0.1448059597619727,2.1517662282351963e-7,Birds
14,0.005961238303858347,0.7960000000000006,0.13899053341663326,8.217406229430269e-7,Birds
15,0.002160631747917899,0.7780000000000006,0.11742445804148906,2.898438547565991e-7,Birds
16,0.006051762462558308,0.7940000000000006,0.12700024292424195,4.3833262505920525e-7,Birds
17,0.0033006852533919323,0.7680000000000006,0.13244255630883273,8.853336318259032e-7,Birds
18,0.0016427358764777794,0.8430000000000006,0.11688777898620786,1.174063430772343e-5,Birds
19,0.004778240196748356,0.6240000000000004,0.15348992886720064,5.883548643422408e-7,Birds
20,0.005497483204789794,0.7660000000000006,0.13358991967260506,2.1581646785234324e-6,Birds
21,0.002924018006530551,0.8640000000000007,0.10196327171375333,4.7026090454395374e-6,Birds
22,0.005318844823559013,0.6520000000000005,0.13538967659611967,4.7484704781327437e-7,Birds
23,0.004749292470278879,0.7930000000000006,0.13424791870939734,1.397068181825082e-6,Birds
24,0.0037236630817045085,0.7890000000000006,0.15198263769288664,4.973686652781577e-7,Birds
25,0.001480694113573276,0.8870000000000007,0.1222743985467277,1.254308969006995e-6,Birds
26,8.122192870577552e-4,0.8130000000000006,0.14881214483247018,6.521183201427553e-7,Birds
27,0.00403080245649103,0.7680000000000006,0.14088962426804105,3.4550142482608063e-7,Birds
28,0.005016251898379849,0.6620000000000005,0.1319436387362494,2.258905786378393e-7,Birds
29,0.00559645984298947,0.7310000000000005,0.1405698262260697,1.8617114376042976e-6,Birds
30,0.0061835564374654465,0.7490000000000006,0.13630763256408282,9.647502037673212e-7,Birds
31,0.005318844823559013,0.6470000000000005,0.13538967659611967,4.7484704781327437e-7,Birds
32,0.0010900647845834863,0.7800000000000006,0.16470500829079865,5.184934108731645e-8,Birds
33,0.0010340628463233763,0.7800000000000006,0.14561134261817724,3.4151160158133155e-7,Birds
34,0.0045462491059768805,0.6160000000000004,0.13895623201724763,2.8820997665683295e-7,Birds
35,0.007002441982549594,0.6640000000000005,0.11606280277549028,2.020811847809863e-6,Birds
36,1.042454771907963e-4,0.9940000000000008,0.12093149729328048,8.544187788046698e-7,Birds
37,0.0013053328064410055,0.7480000000000006,0.1865004339639841,1.3087405662001336e-6,Birds
38,0.005246082935392437,0.7900000000000006,0.1402720361824266,1.6830880090563182e-6,Birds
39,0.006244264737903263,0.7690000000000006,0.14756737236693943,8.098414198610993e-7,Birds
