biome,species,marginality,specialization,w.marginality,w.specialization,orderName,className,familyName,genusName,redlistCategory,BSI,Estimated.age,low.age,int.age,high.age
Tropical_&_subtropical_moist_broadleaf_forests,Rheomys_raptor,3.15126847513962,5.54454364871094,3.151268475139622,5.544543648710938,RODENTIA,MAMMALIA,CRICETIDAE,Rheomys,Least_Concern,1,1.26282020908006,1.2330107901671619,1.2102195417462478,1.1405801575961296
Tropical_&_subtropical_moist_broadleaf_forests,Rheomys_thomasi,3.19495777299329,4.65184315360851,2.1538301215983613,5.130012180383481,RODENTIA,MAMMALIA,CRICETIDAE,Rheomys,Near_Threatened,3,1.68582167908004,1.6329784563180423,1.5863100028504438,1.4480343072756794
Tropical_&_subtropical_moist_broadleaf_forests,Rheomys_underwoodi,3.85601001707838,9.110599916096,3.8560100170783818,9.110599916096003,RODENTIA,MAMMALIA,CRICETIDAE,Rheomys,Least_Concern,1,1.26282020908006,1.2330107901671619,1.2102195417462478,1.1405801575961296
Tropical_&_subtropical_moist_broadleaf_forests,Rhinophylla_alethina,5.02504812875392,2.88700409373099,4.762871912203791,3.560262815498273,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Rhinophylla,Near_Threatened,4,7.71770506869999,6.6893406005505875,5.0512539586779495,2.8881686022128332
Tropical_&_subtropical_moist_broadleaf_forests,Rhinophylla_fischerae,1.02441337465259,1.34024198468298,1.2100521840065426,1.7427367044168975,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Rhinophylla,Least_Concern,5,7.71770506869999,6.6893406005505875,5.0512539586779495,2.8881686022128332
Tropical_&_subtropical_moist_broadleaf_forests,Rhinophylla_pumilio,0.692716174495429,1.23490766719009,0.8445368798637504,1.4566301054264927,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Rhinophylla,Least_Concern,7,9.10993003570004,7.700823312501821,5.438752932153858,2.919273786730312
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_austrinus,3.53160854930553,4.83004726746911,2.8088592516196536,7.7760697159340735,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,4,0.555065433280124,0.5492547340369842,0.5461388113492787,0.536752763086574
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_couesi,1.22538415312815,3.09025402105775,2.682881564286682,3.904301982989712,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,4,0.216507845180124,0.2156199852063633,0.21525341547531032,0.2142426289309353
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_emiliae,1.88175283004308,3.60099199739108,1.8963230326520035,3.8243070459299062,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,3,0.223563570080102,0.22261698309324032,0.22222364083115462,0.2211356796176448
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_fulviventer,3.57916443889007,3.14294712412733,4.017113607657676,5.866034556327088,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,3,0.485387805080136,0.4809404720919948,0.47866512328982624,0.47188428272368094
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_gardneri,1.56165453643927,7.55952988676723,1.5616545364392698,7.559529886767225,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,1,0.481308334480082,0.4769352179047194,0.47470419655105556,0.46806022900331856
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_itoan,3.13125103111474,6.34487919766445,3.194110482636735,7.293137092232814,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,1.3890076157801,1.3530002273336346,1.3241480711085283,1.2366374900162707
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_latimanus,2.45471793006194,2.13318669894717,2.679128766875826,2.1757886896478427,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,3.15883420458012,2.976678368045201,2.757187074261173,2.212455345911086
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_leucodactylus,1.12903064825405,1.57600083280715,1.204493341668519,1.7177263575476394,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,6,0.481308334480082,0.4769352179047194,0.47470419655105556,0.46806022900331856
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_macconnelli,1.83165783237193,2.79119043427014,1.9908872769566048,3.4104781758455105,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,0.934630620580067,0.9182344414130859,0.9073553696164418,0.8738279902834016
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_macrurus,2.24875899945507,3.2714433313523,1.4680946975561746,4.131508558261345,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,5,0.216507845180124,0.2156199852063633,0.21525341547531032,0.2142426289309353
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_mastacalis,2.31645540647821,3.52857915675123,2.35349616491184,4.3461606268171336,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,4,0.387373669680156,0.3845375822863748,0.3831867023566538,0.37924246471347006
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_modicus,2.28537045922779,7.60394002331375,2.415547645691312,11.158303903293085,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,2.37341795078007,2.2695738706587374,2.160548367650632,1.86071188157584
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_nitela,1.45059794652578,2.58962571597774,1.6001861214616453,2.677408605659236,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,3,0.223563570080102,0.22261698309324032,0.22222364083115462,0.2211356796176448
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_venezuelae,1.6670007643442,3.94397830907294,2.047613506419433,3.7374369916197545,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,6,0.586130232880115,0.5796534689054502,0.5761101142436902,0.5653944206514687
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_venustus,3.87305897577393,11.8158491570918,3.7029221107003063,12.363011050468808,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,0.359352101280099,0.35691061933679374,0.3557726945446571,0.35247423202435735
Tropical_&_subtropical_moist_broadleaf_forests,Rhipidomys_wetzeli,2.20283099851232,4.76335538247966,2.368299371687013,5.739342142282339,RODENTIA,MAMMALIA,CRICETIDAE,Rhipidomys,Least_Concern,2,6.12519861858008,5.464822524482381,4.4528677872600895,2.8018051777431534
Tropical_&_subtropical_moist_broadleaf_forests,Rhogeessa_aeneus,2.52079658784467,8.31083732475373,2.0672916904616687,8.64847930532518,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,Least_Concern,3,0.216858691300067,0.2159679554319198,0.21560008005202513,0.21458553582251322
Tropical_&_subtropical_moist_broadleaf_forests,Rhogeessa_io,0.688533326744241,1.18417005707995,1.0371491760398344,1.727481077048575,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,Least_Concern,8,2.49843479130001,2.383542098032009,2.259804532815587,1.9247306761496048
Tropical_&_subtropical_moist_broadleaf_forests,Rhogeessa_minutilla,1.51691932138188,2.17429535729486,2.361513431248234,3.252670551990523,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,Vulnerable,7,0.51531957419,0.5103087273092246,0.5076918391623152,0.49985444252338407
Tropical_&_subtropical_moist_broadleaf_forests,Rhogeessa_parvula,2.69200097961467,18.3733052467619,1.7650451647065255,4.7343828881539425,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,Least_Concern,4,3.34752131820008,3.143432251233828,2.890945860766456,2.2804560054752026
Tropical_&_subtropical_moist_broadleaf_forests,Rhogeessa_tumida,2.1760745619124,2.08466472894561,1.7765337142451556,2.0073568738254597,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Rhogeessa,Least_Concern,5,0.51531957419,0.5103087273092246,0.5076918391623152,0.49985444252338407
Tropical_&_subtropical_moist_broadleaf_forests,Rhynchonycteris_naso,0.583768425936316,1.16352063236285,0.8170142567950869,1.479820009805605,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Rhynchonycteris,Least_Concern,8,14.5746768739001,11.192135572333601,6.203139485158178,2.9411528459468217
Tropical_&_subtropical_moist_broadleaf_forests,Saccopteryx_antioquensis,4.22638512683519,7.79963223314809,4.226385126835194,7.799632233148094,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Saccopteryx,Endangered,1,0.0571914159000907,0.057129338400692,0.057107518735608695,0.057052824468286266
Tropical_&_subtropical_moist_broadleaf_forests,Saccopteryx_bilineata,0.453292689258545,1.08747406811469,0.6655668360500767,1.4395579382303505,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Saccopteryx,Least_Concern,8,5.89161571890009,5.278904016835375,4.3487296484426015,2.781220593866453
Tropical_&_subtropical_moist_broadleaf_forests,Saccopteryx_canescens,1.08291800237828,1.3213094517536,1.3741439726566609,1.48226437543459,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Saccopteryx,Least_Concern,7,5.76896925890011,5.180622036745955,4.2922200086695526,2.7692978571552374
Tropical_&_subtropical_moist_broadleaf_forests,Saccopteryx_leptura,0.344023982812516,1.08922213189246,0.6344073435927955,1.4838534088378543,CHIROPTERA,MAMMALIA,EMBALLONURIDAE,Saccopteryx,Least_Concern,8,5.89161571890009,5.278904016835375,4.3487296484426015,2.781220593866453
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_bicolor,2.02822400340711,29.5988074094841,2.0282240034071095,29.598807409484102,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Critically_Endangered,1,0.847591415100032,0.8340921019003424,0.825515563714698,0.7991171633036356
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_geoffroyi,4.36258474749134,2.77128994403721,4.39842234447516,3.4609996006799815,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Near_Threatened,2,0.606137894500091,0.599213160584188,0.5953766302970928,0.5837477655258341
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_imperator,1.40313473743144,8.68864841429926,1.40313473743144,8.688648414299259,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Least_Concern,1,2.9042449027001,2.749780214228618,2.5708268535694065,2.1111102143345457
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_inustus,2.69443070845135,6.07820500255253,2.6944307084513497,6.078205002552527,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Least_Concern,1,1.4784804247001,1.437730578832203,1.404045931269539,1.3025147821872733
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_labiatus,0.850670997219835,4.75724325346503,0.8506709972198349,4.757243253465031,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Least_Concern,1,0.734582053900045,0.7244280452159984,0.7183574005675322,0.6997594063323419
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_leucopus,2.17750133498332,3.50878323151466,2.3309330628879104,3.4230269182612,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Vulnerable,2,1.32795095470003,1.2950143133207712,1.2692030907653378,1.190618084498473
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_martinsi,2.10710328370619,20.1038637172478,2.1071032837061945,20.10386371724783,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Near_Threatened,1,0.847591415100032,0.8340921019003424,0.825515563714698,0.7991171633036356
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_midas,1.66117235453169,4.76337370440624,1.776394776972879,4.9716694010395655,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Least_Concern,3,0.396617599500059,0.3936448886291709,0.3922189343073826,0.3880461506631344
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_mystax,1.55676368599668,5.50787025468702,1.5567636859966798,5.507870254687016,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Least_Concern,1,0.734582053900045,0.7244280452159984,0.7183574005675322,0.6997594063323419
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_niger,2.05944892890728,4.40161365771118,2.0594489289072766,4.401613657711178,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Vulnerable,1,0.396617599500059,0.3936448886291709,0.3922189343073826,0.3880461506631344
Tropical_&_subtropical_moist_broadleaf_forests,Saguinus_oedipus,1.77629216451295,4.05686712391336,1.8747422598867265,4.186840165236903,PRIMATES,MAMMALIA,CALLITRICHIDAE,Saguinus,Critically_Endangered,2,0.606137894500091,0.599213160584188,0.5953766302970928,0.5837477655258341
Tropical_&_subtropical_moist_broadleaf_forests,Saimiri_boliviensis,1.06958248959092,2.34219531513366,1.1624728791339696,3.3373204330185255,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,Least_Concern,4,1.32577913650011,1.2929492452926985,1.267242421002169,1.188965288071441
Tropical_&_subtropical_moist_broadleaf_forests,Saimiri_oerstedii,3.41759729892646,9.36123954748531,3.417597298926459,9.361239547485312,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,Endangered,1,1.10945613680007,1.0864031200921316,1.0698428682537258,1.018926728491907
Tropical_&_subtropical_moist_broadleaf_forests,Saimiri_sciureus,1.68988366013328,4.73941134249075,1.795197038950041,4.961407016229663,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,Least_Concern,3,0.62478240160012,0.6174268428603014,0.6133042266520667,0.6007836260067829
Tropical_&_subtropical_moist_broadleaf_forests,Saimiri_ustus,1.05413364566746,3.93809310522729,1.130729369307072,6.08678502268429,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,Near_Threatened,3,0.955848687900081,0.9387041825020684,0.9272123320485353,0.891795166064509
Tropical_&_subtropical_moist_broadleaf_forests,Saimiri_vanzolinii,3.48601115959124,113.392103231069,3.4860111595912433,113.39210323106887,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,Endangered,1,0.62478240160012,0.6174268428603014,0.6133042266520667,0.6007836260067829
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_apella,0.774630876845464,1.56052824557009,0.9243884736211332,1.725434321468365,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Least_Concern,6,0.43784447320005,0.4342235247191009,0.43243261980558845,0.4271435853649197
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_cay,3.79406304741784,5.8550155962444,1.904588892432158,5.114344030544336,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Vulnerable,4,0.377264750940051,0.3745744099595289,0.37330286862729134,0.369599680977873
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_flavius,2.23245187139144,11.5929211790134,2.469291965016854,11.438788679884691,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Endangered,3,0.259026911540053,0.2577567659097653,0.2572120178661637,0.2556834008578998
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_libidinosus,2.37694302986145,2.6704945760862,1.449802284873534,3.464286625768676,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Near_Threatened,6,0.0513242133400101,0.05127421571526279,0.05125675709508495,0.05121320076685509
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_nigritus,3.27142672543372,4.7172463286864,3.028817424553837,5.14097327053723,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Near_Threatened,3,1.21260654410009,1.1851032796540821,1.1644860532373127,1.1013380601545586
