biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Montane grasslands and shrublands,high,0.024769914939103528,0.02805563729302895,-0.04017274987304582,0.08984764809716095,0.6454722382409754,0.666529048256833,0.23012808981088967,0.9483179502102427,0,-0.011263981553360452,-0.013497071129663349,-0.016592241911801565,0.007643198819822964,1e-6,1e-6,NA,0.22481784756367135,birds,marginality
Temperate broadleaf & mixed forests,low,0.008393952228559856,0.00960839793109105,-0.00948899098036687,0.02357806321679582,0.6754550673707784,0.6884881065818669,0.33522756312716717,0.9831037840048287,0,-8.215000145008504e-4,-9.169656670685444e-4,-0.001092405105231525,-7.566116454812444e-5,0.4884505182260269,0.4850054616249512,0.3433998382992686,0.6160654232442386,birds,marginality
Temperate broadleaf & mixed forests,int,0.007160775977111834,0.00800960238647439,-0.012597219758446524,0.02489107994960616,0.7124026633492634,0.7356158485609847,0.3682028536641183,0.9677364215026556,0,-8.76099159249335e-4,-9.680903209137736e-4,-0.0010911040813861201,-2.0543099473157003e-4,0.48903136135645137,0.4855907885158549,0.34386330325364745,0.6165979298970461,birds,marginality
Temperate broadleaf & mixed forests,high,0.004062614386047716,0.00449683722451069,-0.01881379302626418,0.02531091757206504,0.7600619544393892,0.7979907112308013,0.3988760196563004,0.9784485643649212,0,-9.26405142122145e-4,-0.00102118616959673,-0.0010920971677672914,-3.139565124512149e-4,0.49011735860583633,0.4861791428768876,0.34501130413719433,0.6174737604855836,birds,marginality
Temperate grasslands savannas and shrublands,low,-0.018693535840805763,-0.01664796415357528,-0.05297834996107764,0.010888085077711251,0.6453355901941576,0.6868994094009806,0.20049603116410758,0.9803068243453188,0,-0.0040192262907300606,-0.00529161822769083,-0.006325190395133761,0.0041163352088717155,0.30408070176124763,0.30452673437396394,0.11253055685174035,0.5239856472989158,birds,marginality
Temperate grasslands savannas and shrublands,int,-0.02985631784896982,-0.02649252154351261,-0.06911253961564451,0.007735021442327704,0.552491409283546,0.5767448671802171,0.14987733425420774,0.9207840785085111,0,-0.0028578521537436993,-0.00434062643027096,-0.006260398751311848,0.006865602347476751,0.3053675835406781,0.30624387588081325,0.11372696824784963,0.5251718912155199,birds,marginality
Temperate grasslands savannas and shrublands,high,-0.04186873396914751,-0.03836303177089928,-0.08871124810489597,0.0020366345984427453,0.49028225862545205,0.4948910848964503,0.11692852987210732,0.9300566276067636,0,-0.0018817942231001109,-0.00335687268514687,-0.0062798595925555615,0.009355515003590536,0.3059343381540338,0.30690510206733473,0.11430045892836181,0.5256546299878802,birds,marginality
Tropical & subtropical coniferous forests,low,-0.031633680551903846,-0.03208609252263939,-0.04529780842995585,-0.01695230628857241,0.1927642311168805,0.16891541482662564,0.05348674166852582,0.46482708423744507,0.020202020202020204,0.0028663104836545096,0.00258832243558079,-0.0013239811651164894,0.007875699671729307,1e-6,1e-6,NA,0.20798758217408758,birds,marginality
Tropical & subtropical coniferous forests,int,-0.030763793216268775,-0.0316632480078729,-0.046709411918776214,-0.012465426306574483,0.2868685280955277,0.24476442795933329,0.09026166311235242,0.6576513945628182,0.010101010101010102,0.0011322291364622842,0.00102935518354498,-0.0023025033738900682,0.005406377951694339,1e-6,1e-6,NA,0.20580357438736074,birds,marginality
Tropical & subtropical coniferous forests,high,-0.031182418499424127,-0.03191594579395307,-0.05166141387067809,-0.006734364096380484,0.3696061106642506,0.3241543067742967,0.11959310103243495,0.8438237756664781,0.010101010101010102,1.4516827810718926e-4,-7.237658009398903e-5,-0.002775945653657381,0.004120292841898489,1e-6,1e-6,NA,0.203608476592292,birds,marginality
Tropical & subtropical dry broadleaf forests,low,0.04406417981429781,0.04360983024343445,0.02079332337202473,0.06257894025177814,0.15657254759206635,0.13646863195389736,0.03576055268418432,0.480352075880325,0.08333333333333333,0.0029790611397940013,0.0026390088093297646,-0.001083419619025455,0.007391183099772736,0.17381732287661575,0.1708014752404408,0.05261565463777058,0.3478380875618545,birds,marginality
Tropical & subtropical dry broadleaf forests,int,0.05264151597959711,0.05235268142415878,0.023676965728933186,0.07514952438268033,0.1526755380816076,0.1310140278548757,0.030539353036182548,0.49391979549797277,0.11458333333333333,0.0031403568308293827,0.00277542718478374,-0.0011487623947717075,0.007944305781493027,0.17447476098962558,0.17154119403054527,0.05354206357679173,0.3481242630748524,birds,marginality
Tropical & subtropical dry broadleaf forests,high,0.06100864239155617,0.05968770340694018,0.026729873972856588,0.08899079985754958,0.16498945874753326,0.1412338791645822,0.031623294025815867,0.5166697911157183,0.09278350515463918,0.0028932200433604534,0.00252470224936368,-0.001250346335790184,0.0078169112902047,0.17531635761773826,0.17313597840842412,0.054703719383986334,0.3486485096736368,birds,marginality
Tropical & subtropical grasslands savannas and shrublands,low,-0.0550354262435358,-0.05484300536138274,-0.06510626667489162,-0.04480972300759123,0.001005617920583251,5.052554034943313e-4,2.792140050182912e-5,0.004271244629488918,1,0.007397963313618931,0.00722443330955219,0.004671073104947164,0.01075843289945161,0.35052098238561447,0.34848455816721857,0.2357224126407149,0.46684888335703145,birds,marginality
Tropical & subtropical grasslands savannas and shrublands,int,-0.06439182708289637,-0.0639947595532059,-0.07669679497095362,-0.052363582597458005,7.38067503720868e-4,3.882557295340483e-4,1.3415829221202768e-5,0.003114545721355782,1,0.007863015524125461,0.007544183682363301,0.0050442573116704316,0.011664227869091631,0.35099393789859223,0.34880941313463487,0.23674851547685172,0.4668571059627683,birds,marginality
Tropical & subtropical grasslands savannas and shrublands,high,-0.07477094164263166,-0.07440612966736215,-0.09028536754722372,-0.06016391409256304,7.523676193952878e-4,3.513734638801417e-4,1.2442338972923351e-5,0.0034666193871023335,1,0.007893852824636786,0.007665338984652615,0.004929075145094428,0.011774772474740252,0.3519398874268925,0.34923173175524436,0.23814229632339481,0.46738914798099995,birds,marginality
Tropical & subtropical moist broadleaf forests,low,-0.07666992862291074,-0.07701454269068819,-0.09049480091967735,-0.0606308710992439,9.257355807261129e-5,2.7114191902821716e-5,5.548817229028558e-7,8.721177103123701e-4,1,0.014978050941649392,0.014846978379767145,0.00903770578708529,0.021436522721857296,0.21127230443743195,0.20954746639483088,0.1012926097900378,0.3523170657717659,birds,marginality
