biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Tropical & subtropical moist broadleaf forests,int,-0.08957890104322624,-0.08974895866757537,-0.10635426430512765,-0.07068743605933536,7.920760055301952e-5,2.0492950066786086e-5,3.8012210951121617e-7,7.069546430602536e-4,1,0.01548024123525569,0.015327703558441645,0.00938545574567845,0.022080964756698955,0.2128967458218409,0.21098949386797727,0.10303204339191598,0.35352039500419236,birds,marginality
Tropical & subtropical moist broadleaf forests,high,-0.10503347721685768,-0.10522688954254122,-0.12556846721905845,-0.08367987291217047,8.392732099026215e-5,1.944349263560685e-5,3.642047350593814e-7,6.495272428097556e-4,1,0.015537861629058432,0.015410843245931685,0.00953078603211131,0.022164062262912697,0.21533870308733555,0.21339002720799477,0.10539943791648619,0.35560194654552835,birds,marginality
Mangroves,low,-0.05216506740141156,-0.05165322703408211,-0.06202877550116309,-0.04201335159291962,0.0010396341413701014,5.749380295922979e-4,3.2740290159472e-5,0.00471135422185775,1,0.005626896004522044,0.005428282084187415,0.0035025192348808925,0.008116715325802798,0.6746884506042437,0.6711577400050064,0.5979176936566349,0.7395561715847359,birds,marginality
Mangroves,int,-0.0582459839447151,-0.057633379571999994,-0.07023999261949843,-0.04747020750674626,0.0010931637426282634,5.646469347988514e-4,2.8599771445608767e-5,0.004475487029608259,1,0.005607013865291764,0.005447004408741195,0.003543811232597868,0.008246773331963948,0.6746668179464135,0.6714693229335468,0.5979683968048387,0.7394996280044439,birds,marginality
Mangroves,high,-0.06464110016377889,-0.06409079375930983,-0.07892799176487802,-0.05200166609842824,0.0016078834226022915,7.606413320682126e-4,4.946326745898233e-5,0.006152341251844247,1,0.005250996952100773,0.00516854444832067,0.0032564891755886283,0.007726321005245684,0.6748791255564681,0.6716557620571968,0.5983126774677117,0.7396239641412564,birds,marginality
Mediterranean forests woodlands and scrub,low,-0.01377816833348604,-0.013941238856806804,-0.024554257943637813,-0.0019889308591815617,0.47049454159530885,0.4484655073191355,0.17149513062404337,0.9131412373109061,0,-2.9782702392260605e-4,-4.015236482453655e-4,-9.33917850420048e-4,8.238139731798961e-4,0.2464478172644013,0.2456253160233644,0.13877421174686524,0.378272182804707,birds,marginality
Mediterranean forests woodlands and scrub,int,-0.016279414173565196,-0.016617626009970493,-0.029386815663389975,-0.003812484162367437,0.4605664370147112,0.4399067589645129,0.1617481249707255,0.8575077168055568,0,-2.720296404337632e-4,-3.8071499829989955e-4,-9.146482235900046e-4,9.160627116743353e-4,0.2468948259933303,0.24608486285229764,0.13935894328682874,0.37854945614992447,birds,marginality
Mediterranean forests woodlands and scrub,high,-0.01944392808783885,-0.019306646492057433,-0.03673887400956305,-0.005593239936840931,0.45330126491409206,0.44734278725462995,0.14150966880075594,0.8237132505594147,0,-2.495420444398769e-4,-3.988222002193595e-4,-8.980206550553894e-4,0.0011052686261462223,0.24740189521025555,0.24669255450236122,0.14000132490585446,0.3788846774531779,birds,marginality
Deserts and xeric shrublands,low,-0.010496306417856434,-0.010711141585375875,-0.03832015744653215,0.023062558570816596,0.5154654751560096,0.5235275931658956,0.0642902328315486,0.9898918542071296,0.02040816326530612,-2.742309799716452e-4,-0.00117745116043013,-0.0019917104266101884,0.00482520551312389,0.7699400793851154,0.770282579928167,0.661369560023331,0.8469275682411546,reptiles,marginality
Deserts and xeric shrublands,int,-0.009742971454962291,-0.00962247239081737,-0.042311792675182494,0.02682877048416797,0.5177348526926263,0.5296994704867246,0.0654284343566796,0.9645273682781097,0.02040816326530612,-3.372049372702849e-4,-0.00120320071863745,-0.0019879189230487377,0.004775167742370768,0.7701232784559324,0.7705746188162135,0.6615923312372742,0.8470674980242497,reptiles,marginality
Deserts and xeric shrublands,high,-0.00814686717718816,-0.00896933235215467,-0.04793066873766962,0.03306294962277076,0.5173460796327394,0.541300443776872,0.06054206907746377,0.978693063277042,0.01020408163265306,-3.9593659884899773e-4,-0.001246079096505085,-0.0019905892741914053,0.0050254524385839015,0.7703689413324651,0.77081339071951,0.6619003483943604,0.8472504347795998,reptiles,marginality
Flooded grasslands and savannas,low,-0.010631590377553707,-0.0106294179355979,-0.06337556393890881,0.031137948721763762,0.5991705739422379,0.6119989510954402,0.06734420316532264,0.9823949246224675,0.020618556701030927,-0.0013484171525490652,-0.00234686148706361,-0.003162962976583182,0.00742001879519377,0.15084557610866858,0.1490716153919915,NA,0.3735018724916583,reptiles,marginality
Flooded grasslands and savannas,int,-0.012736537516788831,-0.013642318965437269,-0.07385926669215631,0.03648471254540102,0.5825471979188684,0.5958314840144575,0.05640021878053591,0.990331526235777,0.01020408163265306,-0.0011266704934352373,-0.0022702084591155096,-0.00316409005635322,0.00834327844601986,0.15068436307536093,0.14899797620147331,NA,0.3732241009246842,reptiles,marginality
Flooded grasslands and savannas,high,-0.015808489851030054,-0.01632491516953282,-0.08337760377129291,0.041897108955596396,0.5651620940562214,0.5620963715339911,0.0503546178218834,0.9755599463027508,0.030927835051546393,-8.986486032048873e-4,-0.00209650295536946,-0.003161561759420348,0.008950112039664365,0.15062109873413856,0.1491942898876793,NA,0.3730765073707592,reptiles,marginality
Montane grasslands and shrublands,low,-0.038314933504987554,-0.03929745883707764,-0.16823332558587967,0.09028128932817384,0.4727703820467958,0.4786669237484127,0.03611426286356023,0.985175485201146,0.06382978723404255,0.0038971549760099407,-0.01817621061669618,-0.038445181608553806,0.12576129763631558,0.8115373133097051,0.8245648300864705,NA,NA,reptiles,marginality
Montane grasslands and shrublands,int,-0.037302626281635214,-0.03967134438519144,-0.17550445517430488,0.11336332999632553,0.4568042785915545,0.4683890512546221,0.03629903549788312,0.95467304198999825,0.061855670103092786,0.00590113085204288,-0.0172738955069664,-0.03832497296673919,0.1255284747122368,0.8152393632662918,0.8268759496858005,NA,NA,reptiles,marginality
Montane grasslands and shrublands,high,-0.03257132375781236,-0.03749254837225001,-0.19163408153980574,0.13048737245187547,0.4622556942751036,0.4687668379404665,0.04592100661375341,0.9300057936858874,0.031914893617021274,0.002915075437446644,-0.017248360208268,-0.03814591332135519,0.11194867823498544,0.8148280679123285,0.8272529489410552,NA,NA,reptiles,marginality
