tree_id,K,K_pval,lambda,lambda_pval,class
24,0.013629912852947327,0.001,0.6823166904707609,2.3035765962288458e-49,Mammals
25,0.01551137294788082,0.001,0.6547526956124179,2.0140457092140068e-47,Mammals
26,0.016838753784986407,0.001,0.6903586650026771,3.5580345729179276e-50,Mammals
27,0.016876862391063247,0.001,0.6908968548936321,1.7790443162367676e-49,Mammals
28,0.012370221776493598,0.005,0.6855703220178972,5.820943932764589e-49,Mammals
29,0.01155983491735921,0.003,0.6956399837345982,3.4533190851109304e-49,Mammals
30,0.013808459437381564,0.002,0.6707369952696034,7.266541903177825e-50,Mammals
31,0.014433311282283964,0.005,0.671254133822956,3.41433955751976e-48,Mammals
32,0.012070512565522364,0.02900000000000002,0.7106659223416985,2.2889696354982305e-49,Mammals
33,0.008301533187114877,0.6550000000000005,0.657330293785902,2.1207913893458642e-49,Mammals
34,0.014256785414556942,0.002,0.6859775997048433,9.32323224395406e-49,Mammals
35,0.012408233581058196,0.023000000000000013,0.6731438164728966,5.076857235656015e-49,Mammals
36,0.01201846652103378,0.06400000000000004,0.689482174481471,3.1278879350501455e-48,Mammals
37,0.018117463530685992,0.001,0.6600358943625282,2.9061973529782504e-50,Mammals
38,0.014966445449930995,0.004,0.677181340305682,5.641944569955235e-50,Mammals
39,0.010992348037695745,0.46000000000000035,0.6607597923173973,5.976717585556512e-50,Mammals
40,0.008217286428559739,0.8780000000000007,0.6525392094626564,1.0846746088044671e-48,Mammals
41,0.004288416146710966,0.9990000000000008,0.6759551279743794,1.1879355657723507e-49,Mammals
42,0.009023282566026932,0.8010000000000006,0.6765002834138291,1.0114439276462977e-48,Mammals
43,0.018877251887304124,0.001,0.6715819126614985,9.518972077183013e-49,Mammals
44,0.013213859837892632,0.059000000000000045,0.6556973631508702,1.589855304099607e-50,Mammals
45,0.01408029723541274,0.004,0.681623077243815,2.710865748807757e-48,Mammals
46,0.016742186337589036,0.001,0.6868862063531558,2.374808338536698e-50,Mammals
47,0.011440862896746708,0.003,0.7095835328545163,1.0348388371944196e-49,Mammals
48,0.011692923435425636,0.028000000000000018,0.6882150401865667,9.226112090820455e-49,Mammals
49,0.014084587726918193,0.004,0.6686418270736378,8.545829001624292e-49,Mammals
50,0.014250423008974222,0.002,0.689921556592598,8.383556760455251e-49,Mammals
51,0.0180171359536426,0.001,0.6870073562089298,1.3271691803172814e-49,Mammals
52,0.013411203635505499,0.002,0.6958147456460392,3.643395522012927e-49,Mammals
53,0.008643850298313507,0.3820000000000003,0.6681384170779133,3.083057950171316e-49,Mammals
54,0.014506887163751078,0.009000000000000001,0.6829253403025749,4.64221341096781e-50,Mammals
55,0.017447281014799126,0.001,0.7076385924856128,1.970701449161691e-49,Mammals
56,0.012965178519309787,0.002,0.7008184522100855,5.200355009744871e-50,Mammals
57,0.014427653312097981,0.001,0.6955867874136316,5.810317969286027e-50,Mammals
58,0.01103381151018897,0.36700000000000027,0.6738603778993553,2.2400166874701743e-48,Mammals
59,0.015299113447021862,0.001,0.688269759795392,5.0866726234440884e-49,Mammals
60,0.013040146967588005,0.001,0.7005251190038839,1.7196697762502784e-49,Mammals
61,0.01232993211944756,0.03000000000000002,0.7041278418747461,1.7959739912466187e-49,Mammals
62,0.012084341161807389,0.002,0.700087080846216,1.048224922710489e-48,Mammals
63,0.01739133326046919,0.001,0.6660914472184595,7.57216233836e-50,Mammals
64,0.009766460398448648,0.17300000000000013,0.6603638708472469,1.5644365445975836e-49,Mammals
65,0.013805276335368714,0.001,0.6724120783828567,8.335341027147286e-49,Mammals
66,0.007354936256084755,0.9020000000000007,0.6805647690211801,9.486741485920311e-48,Mammals
67,0.011058207634495476,0.028000000000000018,0.6920814257816917,8.24871529523276e-49,Mammals
