term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(int.age + 1),-0.05624557452932495,0.029253010296831528,-1.9227277452336953,0.05471635073477521,0.001915811576205695,0.3825925052988976,0.2649596410046442,0.5033501211273996,Amphibians,int,neo_specialization
(Intercept),2.595258278980142,0.28290607142378976,9.173568689844332,0,0.0018089731589434645,0.3834315774535337,0.26570246112500334,0.5041771001038245,Amphibians,high,neo_specialization
log(high.age + 1),-0.06197932969407404,0.03291277089532391,-1.8831392194596341,0.059888072555401406,0.0018089731589434645,0.3834315774535337,0.26570246112500334,0.5041771001038245,Amphibians,high,neo_specialization
(Intercept),1.232374590141028,0.1887064485391392,6.530643757441196,9.129985656386452e-11,-5.76406128692415e-4,0.750010932804081,0.6779245104012788,0.80737402213426,Amphibians,low,neo_marginality
log(low.age + 1),0.003990990863960251,0.009141156520732085,0.4365958349918535,0.6624716153699113,-5.76406128692415e-4,0.750010932804081,0.6779245104012788,0.80737402213426,Amphibians,low,neo_marginality
(Intercept),1.228157652272487,0.18878070404201033,6.505737217714682,1.0726197707811025e-10,-4.4406590766914416e-4,0.7501306788590884,0.6781155307160768,0.8074456841287048,Amphibians,int,neo_marginality
log(int.age + 1),0.006119487911813432,0.009974952818035109,0.6134853992240601,0.539654807613577,-4.4406590766914416e-4,0.7501306788590884,0.6781155307160768,0.8074456841287048,Amphibians,int,neo_marginality
(Intercept),1.2233739598878752,0.1888878741964121,6.476720462298014,1.2932011017596778e-10,-2.6688140331054523e-4,0.7501606211853652,0.6781899563948259,0.8074504692224181,Amphibians,high,neo_marginality
log(high.age + 1),0.00888752914507362,0.011240749920936524,0.790652688440306,0.4292802211080484,-2.6688140331054523e-4,0.7501606211853652,0.6781899563948259,0.8074504692224181,Amphibians,high,neo_marginality
(Intercept),2.6362422759657593,0.28633630617973166,9.206804093893023,0,0.0034341151412755865,0.34730564158413213,0.2382892367682936,0.4625457147823373,Amphibians,low,neo_specialization
log(low.age + 1),-0.06520410849914786,0.02697805314507012,-2.416931575770991,0.015778744272054723,0.0034341151412755865,0.34730564158413213,0.2382892367682936,0.4625457147823373,Amphibians,low,neo_specialization
