term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),1.0937119228227052,0.1678411643279633,6.51635090355773,1.0019718388321051e-10,1.317811602697749e-5,0.7643108549811826,0.6960663963525168,0.8185675315226005,amphibians,high,neo_marginality
log(high.age + 1),0.00981442103714413,0.00972492999745491,1.0092022297037246,0.31305179676655426,1.317811602697749e-5,0.7643108549811826,0.6960663963525168,0.8185675315226005,amphibians,high,neo_marginality
(Intercept),2.2285711659082104,0.3103768469228205,7.180210727710548,1.1253220577600589e-12,9.160679040674032e-4,0.4290099334520285,0.3050533262224398,0.550982851121007,amphibians,high,neo_specialization
log(high.age + 1),-0.04771553125996702,0.0315559744051386,-1.5120918355224988,0.13073586515721036,9.160679040674032e-4,0.4290099334520285,0.3050533262224398,0.550982851121007,amphibians,high,neo_specialization
(Intercept),1.1447015944870913,0.1463346947092119,7.822489374524464,1.021405182655144e-14,8.289453318495323e-4,0.762261266738436,0.6879876445016768,0.821080774798995,amphibians,high,neo_marginality
log(high.age + 1),-0.01422430788862733,0.00966952203183628,-1.4710456051286418,0.14150318446177845,8.289453318495323e-4,0.762261266738436,0.6879876445016768,0.821080774798995,amphibians,high,neo_marginality
(Intercept),2.2176823968494244,0.2563495821844445,8.651008431345106,0,4.13104186853764e-4,0.3757284036624945,0.2566018028581993,0.4987485618211955,amphibians,high,neo_specialization
log(high.age + 1),-0.03935424085588025,0.03131028993120194,-1.256910777330816,0.20899530343895956,4.13104186853764e-4,0.3757284036624945,0.2566018028581993,0.4987485618211955,amphibians,high,neo_specialization
(Intercept),1.1430303142910945,0.14925444942895205,7.658266260498978,3.5083047578154947e-14,8.924301691259709e-4,0.7499542744674018,0.6760175871561239,0.8089562839228808,amphibians,high,neo_marginality
log(high.age + 1),-0.01446413050430728,0.00963590835574687,-1.5010655944730793,0.13356376374511836,8.924301691259709e-4,0.7499542744674018,0.6760175871561239,0.8089562839228808,amphibians,high,neo_marginality
(Intercept),2.216856463116791,0.28703760970128367,7.723226462984572,2.131628207280301e-14,-2.443709940825337e-5,0.4286801571756058,0.3039848804210507,0.552036047549077,amphibians,high,neo_specialization
log(high.age + 1),-0.03056845475614893,0.03110633644006547,-0.982708292088562,0.3259205786529942,-2.443709940825337e-5,0.4286801571756058,0.3039848804210507,0.552036047549077,amphibians,high,neo_specialization
(Intercept),1.12771011619047,0.1590152825107394,7.091834812256539,2.09232631220857e-12,-3.211519247283761e-4,0.7467569373359435,0.674092637281302,0.8046270015395611,amphibians,high,neo_marginality
log(high.age + 1),-0.00700053904197579,0.00944322991068796,-0.7413288788036911,0.4586182081198946,-3.211519247283761e-4,0.7467569373359435,0.674092637281302,0.8046270015395611,amphibians,high,neo_marginality
(Intercept),2.237713275435784,0.31914735735273414,7.0115362821650304,3.653521929436465e-12,0.00158417029191623,0.4606828068512048,0.33355230829052074,0.5811142252607983,amphibians,high,neo_specialization
log(high.age + 1),-0.05469392878164304,0.0304508228260894,-1.796139601678771,0.07268754504218888,0.00158417029191623,0.4606828068512048,0.33355230829052074,0.5811142252607983,amphibians,high,neo_specialization
(Intercept),1.1876861944963022,0.15106129213726305,7.862280122806719,7.549516567451064e-15,0.00542024428554367,0.7436993973168583,0.6705809681238758,0.8023119107132655,amphibians,high,neo_marginality
log(high.age + 1),-0.0286774535592392,0.0097528559550236,-2.94041598599308,0.00333145320068517,0.00542024428554367,0.7436993973168583,0.6705809681238758,0.8023119107132655,amphibians,high,neo_marginality
(Intercept),2.1758929134564178,0.3085900223698863,7.05107993040786,2.7784441414269168e-12,-5.314190325157283e-4,0.45770485897130303,0.3236246388719892,0.5861540559355428,amphibians,high,neo_specialization
log(high.age + 1),-0.01603008431239442,0.03175581214214543,-0.5047921382278155,0.6137841693754802,-5.314190325157283e-4,0.45770485897130303,0.3236246388719892,0.5861540559355428,amphibians,high,neo_specialization
(Intercept),1.1287008976941009,0.17279880140325982,6.531879205921437,9.061396077925109e-11,-5.521404089162057e-4,0.7737398420187862,0.7079391817729072,0.8254962314121836,amphibians,high,neo_marginality
log(high.age + 1),-0.00493164634576364,0.01037897564203716,-0.475157329186647,0.6347488515784352,-5.521404089162057e-4,0.7737398420187862,0.7079391817729072,0.8254962314121836,amphibians,high,neo_marginality
(Intercept),2.2502063469997897,0.339560251476297,6.626824951438303,4.877609427467178e-11,7.871822222050657e-4,0.4813477194587379,0.3485483651799669,0.6033126105872046,amphibians,high,neo_specialization
log(high.age + 1),-0.04825464594113444,0.03325703350404389,-1.4509606196616096,0.14701452488187394,7.871822222050657e-4,0.4813477194587379,0.3485483651799669,0.6033126105872046,amphibians,high,neo_specialization
(Intercept),1.1553269312706265,0.1445797793809855,7.990930240847843,2.6645352591003757e-15,0.00276060940620063,0.7456990478779812,0.675546621240948,0.8024599917781309,amphibians,high,neo_marginality
