term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,-0.01388520826708304,0.05767570231474502,-0.24074623645342655,0.8098579090354396,-0.00202564267938689,0.5632622333758575,0.3565925407602687,0.7293277613599187,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.00813074234360164,0.06626249811122867,-0.1227050379228584,0.9023936885025828,-0.00211808942494434,0.5639887589646234,0.3577616956211772,0.7296997196328812,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.0080731311425495,0.08532688702845022,0.09461415297920936,0.924662063859611,-0.00213124534084476,0.5647229219483251,0.3590811107157441,0.7300503123256588,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00145409933963578,0.05680693429627748,0.02559721550985143,0.979589588121075,-0.00214912553637222,0.5219591985728809,0.3222634567087624,0.6932425692621765,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00835325758339391,0.06565314395551283,0.12723316935216622,0.8988108540371353,-0.00211565047715262,0.523045894420676,0.3234728928495745,0.6940387600806326,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02412704437378608,0.08567584725452188,0.28160847131293104,0.7783690208905951,-0.00197965521641202,0.5246942541768778,0.32528527774691984,0.6952008502707637,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.05741349959679723,0.05774945258412959,-0.9941825771102688,0.3206510428196363,-2.489547678721751e-5,0.5189697510078269,0.30611088954803445,0.6997589346513666,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.05724521207522509,0.06620014829664486,-0.8647293631232905,0.3876332163484288,-5.415874254485812e-4,0.5201981792774488,0.30763212874000345,0.7005353023529712,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.04895933090284815,0.08580426365972271,-0.570593217803349,0.5685510337328403,-0.00144935807031123,0.5221763073254324,0.30984775552411103,0.7019916533766603,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00581289949953305,0.05893760666187738,-0.09862802086418972,0.9214761222802372,-0.00212957375935669,0.53004988701011,0.325338270263354,0.7025177978336503,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00383631299243863,0.06912287587300182,0.05549990425003467,0.9557640441783232,-0.00214389926216171,0.5309432609837533,0.326810329663758,0.7029797533570957,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03220203968543052,0.0916807688345303,0.3512409428366624,0.7255666841481125,-0.0018847253357718,0.5318897669609113,0.3285412527969584,0.7034412046287057,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03996500478859497,0.06265188351330751,0.6378899172298027,0.5238593297622407,-0.00127436109988357,0.5338982249713446,0.32050244734742883,0.7099692360740489,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.05903482071255426,0.07282099314360577,0.8106840921015092,0.41796182262371384,-7.361451651809997e-4,0.5350426897812524,0.32192959538671423,0.7107445118336321,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.10608886260737248,0.09602515326309344,1.1048028459450212,0.26981635538465554,4.731436866106452e-4,0.5369944068549917,0.3242624504993137,0.7120488396797531,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01054379694019645,0.05805037140665361,0.1816318601363496,0.8559507904526877,-0.00207944358336405,0.5186374615853903,0.3052139161976414,0.6975765988202541,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01899221471206101,0.06682119920562726,0.2842243919271298,0.7763649443647773,-0.00197646629926517,0.5191876313462362,0.30610962571575556,0.6978790146624202,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03977170901942784,0.08714406074731923,0.4563903572814779,0.6483223900390342,-0.00170183518893759,0.5197410674637186,0.3070007932336558,0.6981968878915882,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03576688178188658,0.06117352874363056,-0.5846790681600276,0.5590471007975417,-0.00141433741195459,0.5286649843038292,0.3208523541554446,0.7039556148579295,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.0337809222486766,0.07065985605162253,-0.4780779941583379,0.6328193659802397,-0.00165819878701174,0.530505653277121,0.3232957868845635,0.7050077542423476,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.02736074091839466,0.09316705196604584,-0.2936740010660219,0.7691380518558963,-0.00196470136896848,0.5328321512721472,0.3263120223258628,0.7064251123579541,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03655935379318369,0.05839886911528962,-0.6260284547806757,0.5316034389083473,-0.00130661569016046,0.49233942785493473,0.2803433323467142,0.6782036201416742,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.02778109741639921,0.06804173288342286,-0.4082949719107988,0.6832450742850145,-0.00179139050009866,0.4950120026587358,0.28375916289207814,0.6797640859450407,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.00652149811512489,0.08882350698522075,-0.0734208582443159,0.9415027912734816,-0.00213892010207245,0.4973644974591774,0.2869826091827059,0.6810781838428909,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01713935466589165,0.05703556926612704,0.3005029122427043,0.7639278791780195,-0.0019559599411579,0.4844526317413993,0.27231332625526666,0.6718691246299201,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.03021130349590709,0.06572710622193292,0.45964755231876736,0.6459840424479824,-0.00169541059848258,0.48599233955132787,0.2741523527700383,0.6728706602950274,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.05537018514013611,0.08556547382727167,0.6471089642057047,0.5178807339619844,-0.00124887531589635,0.48756043828338447,0.2760640291009061,0.673837475926467,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03445006784176523,0.05773399008022509,-0.5967033942032179,0.5509958200117573,-0.00138376851984322,0.5137669685652614,0.31339759654274696,0.6867613956661811,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.03628490839260163,0.06711702548789146,-0.5406215208263031,0.5890273370451657,-0.00152104046074495,0.514655292319451,0.31460569772623986,0.6872626672080897,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.04498965109032266,0.08845247974650972,-0.5086307497455765,0.6112523006811739,-0.00159329584178634,0.5153519764948976,0.3155939708305933,0.6876373129493083,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01901168147291176,0.05833913203265244,0.3258821448058384,0.7446601249636962,-0.00192171342649789,0.5140127554538345,0.29533938727790027,0.6995451484046569,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.03133146384138138,0.06675889262386606,0.4693227015898778,0.6390589701594014,-0.00167605812224439,0.5154666651831151,0.29702845192934196,0.7005316490238616,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.06072777527062435,0.08609383569512986,0.7053672865229257,0.480934882614781,-0.00107939772969715,0.5178684689235536,0.2996026121241306,0.7022265325922717,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01061099986705317,0.06073677495778762,-0.17470469702133307,0.8613877167492872,-0.00208476266295321,0.5359294846107407,0.326664937402365,0.7099979626245503,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.00695818755298791,0.0704663860181889,-0.09874477671086825,0.921383467915358,-0.00212952409694938,0.5364021790620157,0.3273445124550222,0.7102766984267418,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00483512460408824,0.09361157682736423,0.05165092575040206,0.958829020795545,-0.00214478808594504,0.5371584512678613,0.32833961723387345,0.7107658109779271,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01610280776260391,0.05642398249625288,-0.28538942219601926,0.7754728854789161,-0.00197503659494914,0.4934583353714759,0.2860161419035992,0.6774997942085017,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01340448939399131,0.06514687061090885,-0.20575799371929823,0.8370700039764754,-0.00205930422492919,0.4942303913523746,0.28703701866396375,0.6779510812173666,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.00140331049563459,0.08549985313336818,-0.01641301644630453,0.9869119352706393,-0.00214995706176398,0.4951491531015399,0.28817770865988895,0.6785670138895002,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00350656342893455,0.05677513899796058,-0.06176230460766494,0.9507786601182188,-0.00214231665738917,0.5237987906642424,0.3264502434689295,0.6932632844257833,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00729737517703843,0.06612169566897304,0.11036279549713146,0.9121692728311204,-0.00212428855838467,0.5250045008673568,0.3277160426881901,0.6942633082439125,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03623579526982311,0.08693889151195666,0.4167961500272823,0.6770198532596057,-0.00177628472013573,0.5269941285644607,0.3295706743951408,0.6960356162094234,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.02573187200449751,0.05911013052504512,-0.43532084561367784,0.6635315392369165,-0.00174229159082167,0.5066662490381522,0.29511581962993877,0.6879751237607177,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.02363554189238463,0.06804023983206306,-0.3473759344576369,0.7284660816090678,-0.00189054156652427,0.5073433688304559,0.29608660737231496,0.6883629128688562,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.01448425605400713,0.08766221836253417,-0.1652280346603405,0.8688363060522355,-0.0020917044997733,0.5081462364411642,0.2971518462611925,0.6889219385578554,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.05622843702193922,0.05814610644906809,-0.9670198136343212,0.3340367993590998,-1.3923114235211094e-4,0.528394825218215,0.31957195799293475,0.70240884121547,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.06316208645666438,0.06801101276343721,-0.928703806784368,0.35352443251020205,-2.9517130482027823e-4,0.528765703086625,0.32031024659133095,0.7024895065397829,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.06522673561042465,0.0908798052518675,-0.717725301343384,0.4732870885169369,-0.00104157815927359,0.5306351070483829,0.32267846737571176,0.703807732777044,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01898929411176063,0.05740288853099163,-0.3308072920669902,0.7409390615369464,-0.00191474623269118,0.5074937565412597,0.3010372815983121,0.6854250997727835,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01698135902038663,0.06675944730076544,-0.25436638119369104,0.7993249664272819,-0.00201111316249534,0.50829746894011,0.3021368221118432,0.6859163307668605,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.01210279367280173,0.08751830497107627,-0.13828871202203422,0.8900721108144829,-0.00210932450300072,0.5092527414568353,0.30336865164357524,0.6865760793419812,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.02385420397475701,0.06046359212184483,-0.3945217797627136,0.6933767311981764,-0.00181520437288016,0.5149174937811509,0.2975338885589506,0.6998314143510573,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.02295378284008997,0.06982086072100155,-0.32875250466778705,0.7424907680227584,-0.00191766566194329,0.5153309755282309,0.298148036063882,0.7000589583473994,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.01278656989249363,0.09128350192678553,-0.1400753654559526,0.8886610966447146,-0.00210825274352104,0.515975540949314,0.2990864626566029,0.7004753239952407,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03380350098776766,0.06104634962710131,0.5537350094519118,0.5800263731041915,-0.00149015188230165,0.5289633690340259,0.3178755602072137,0.7062917593396193,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04770296562478051,0.07125766861768851,0.6694432550230679,0.5035450197826972,-0.00118562233675197,0.529073306261722,0.3181760961139721,0.7063754026295017,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.0843926348163581,0.09487884675518092,0.8894778731250733,0.3742062320727418,-4.483320558092448e-4,0.5293135994319608,0.31866892858604784,0.7065407948688791,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00502007409470745,0.05992560522238365,-0.08377177128337673,0.933273943617059,-0.00213541355833115,0.5484231251012575,0.3362360622260828,0.7180486053873936,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00587289685964757,0.06949333111113448,0.08451022228673383,0.932687146985964,-0.00213514574874511,0.549426777560919,0.3374308193530834,0.7188269209657886,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03423475856871799,0.091449942235627385,0.374355168869431,0.7083107425209221,-0.00184860030404596,0.5508053121751676,0.33888837557130735,0.7199752889968944,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03576688178188658,0.06117352874363056,-0.5846790681600276,0.5590471007975417,-0.00141433741195459,0.5286649843038292,0.3208523541554446,0.7039556148579295,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.0337809222486766,0.07065985605162253,-0.4780779941583379,0.6328193659802397,-0.00165819878701174,0.530505653277121,0.3232957868845635,0.7050077542423476,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.02736074091839466,0.09316705196604584,-0.2936740010660219,0.7691380518558963,-0.00196470136896848,0.5328321512721472,0.3263120223258628,0.7064251123579541,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.02672949177963875,0.05988285618407777,0.44636300742692103,0.6555428369497873,-0.00172132711505253,0.5200878633837843,0.2998979253430656,0.7073781987609065,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.03888090551296275,0.06850952498772808,0.5675255450965012,0.5706310670848269,-0.00145687208314403,0.5200045811249963,0.29981677292762965,0.7074075213584284,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.07173990236774064,0.08806587227728567,0.8146163833120188,0.4157089243585106,-7.224102295006003e-4,0.5200073296101615,0.2997693285433545,0.7075438907818704,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01273853699989273,0.05891599396745434,-0.2162152607818109,0.8289147749104218,-0.00204979598927368,0.5323016767688078,0.3208805785970602,0.7085980992361754,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01014883298918892,0.06907692201170704,-0.14692074709798036,0.88325825227436,-0.00210401909104264,0.5327693412339267,0.3216017208534637,0.7088496903092535,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00960422132911656,0.09283489100090854,0.10345486729792758,0.9176465704363608,-0.00212747165654973,0.5341522468268949,0.323672624608846,0.7096235654537149,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.05562016112098349,0.06109172540102614,0.9104369005110674,0.3630638332340217,-3.6731222965274854e-4,0.5541793477400253,0.33051250037109614,0.7338817162103538,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.06998506166615959,0.07058753345211094,0.9914648981698716,0.32197425542126035,-3.647634270113104e-5,0.5533718654145617,0.32956979365860656,0.7334319763540325,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.10023420247513916,0.09276438554623335,1.080524620358563,0.2804687175841254,3.593846486038577e-4,0.5522477758938015,0.3280953646454153,0.7328218720018703,Mammals,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00773500437978449,0.0612258218438252,0.12633565621242204,0.8995208394696772,-0.00211614091802913,0.5224293028984133,0.3135955338296786,0.6980246501902901,Mammals,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01777594012283986,0.0700184511301502,0.25387508343762083,0.7997042808646431,-0.00201165115257341,0.5226372101756529,0.31408642964853717,0.698118625483838,Mammals,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04250064362709663,0.09178392389061682,0.46305106412476577,0.6435443978763913,-0.00168864868436575,0.5221954861640737,0.3139586929161169,0.6976788088901297,Mammals,high,Deserts_and_xeric_shrublands,specialization
