term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.01339387834828631,0.07893924416395667,0.1696732530206047,0.8654608770388355,-0.00548617539907156,1e-6,NA,0.4977660357207775,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00956389408597324,0.08959414510182317,0.10674686470978592,0.9151106941565326,-0.00558498003742348,1e-6,NA,0.498838032907352,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00256778534132884,0.07672363379949643,0.03346798390753094,0.9733391078412944,-0.00564335351920577,1e-6,NA,0.456132575598463,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02040383038856053,0.08728327733612246,0.23376563084342775,0.8154370839386385,-0.00533933251240422,1e-6,NA,0.4640156014216703,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04006365338018014,0.10152208616266235,0.3946299262998664,0.6935911265386328,-0.00476567824267382,1e-6,NA,0.467532363587692,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03980630636947069,0.0669498155991258,-0.5945693205164028,0.5528906506211104,-0.0036451904072438,1e-6,NA,0.6033935823244668,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.04393086011854841,0.07371954226497579,-0.5959187858308229,0.5519907544839686,-0.00363609916423884,1e-6,NA,0.6040951425841536,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.05389516595396948,0.08297392055000824,-0.6495434420443825,0.5168292069642579,-0.00325829728529393,1e-6,NA,0.6046421310863093,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.09402260643201732,0.07641714211890736,1.2303863220338092,0.2201851466351692,0.00287849094064308,1e-6,NA,0.44982401974613145,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.10588213666302249,0.08629800719835246,1.2269360568159668,0.22147612157970453,0.00283113097160424,1e-6,NA,0.44642162785584255,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.11617913293572002,0.10029604506199914,1.1583620556912544,0.2482768542549174,0.00191655936511867,1e-6,NA,0.4486954762609931,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.02965121453616603,0.081476998592699093,-0.36392129126394934,0.7163511224122261,-0.00489781149122907,1e-6,NA,0.4216028818974301,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.02947834080825107,0.09016445436842106,-0.3269397127142764,0.7440997905640914,-0.00504277629396436,1e-6,NA,0.4218240724359325,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.02960338048319855,0.10366691457250056,-0.28556247289963577,0.7755471496931796,-0.00518661653459734,1e-6,NA,0.4219387142279381,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03603971621286028,0.07328249174893538,0.49179163198123454,0.6234759967383101,-0.00427743759262581,1e-6,NA,0.5735065153421633,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04146304381965127,0.08209409870695043,0.5050672883036456,0.6141398598917842,-0.0042024577224972,1e-6,NA,0.5743123894007115,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04125496875596024,0.0945418283590506,0.43636736746069976,0.6631020109925139,-0.00456900286539849,1e-6,NA,0.5732682056040163,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.03832134268354537,0.07215227302419085,0.5311176083211846,0.5960031198040165,-0.00404955798229937,1e-6,NA,0.4734234014766736,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04107891164919142,0.08029825136655895,0.5115791558357541,0.609583200454032,-0.00416495335541201,1e-6,NA,0.4709577321653356,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04166485905726258,0.09179958569754504,0.453867615421894,0.6504801251939307,-0.00448068466324501,1e-6,NA,0.467599665111247,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.04129916789667565,0.07904246945723493,0.5224933909614263,0.6019801959538258,-0.00410102304972363,1e-6,NA,0.4978062889268246,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.0491437056560251,0.0866468199954413,0.5671726401339446,0.5713154998286896,-0.0038253369689923,1e-6,NA,0.49724261186972846,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.05971934347235219,0.09864691201688285,0.6053848240290742,0.545698757553301,-0.0035717525448631,1e-6,NA,0.4965644244474399,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.07839569431770332,0.07025312396137387,1.1159033206951243,0.26597619047238696,0.00137585845677551,1e-6,NA,0.49887816847281063,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.08915248756453575,0.07784977136513829,1.1451862478360328,0.25367809704786737,0.00174667156561701,1e-6,NA,0.4935101726269288,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.09995063278556326,0.0889189844335439,1.1240640389934298,0.2625080157356685,0.0014782607446083,1e-6,NA,0.4899203220550084,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.07969391314417962,0.077297214024698,1.031006280753092,0.30394461363766867,3.53661120866404e-4,1e-6,NA,0.5380143555294303,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.09806836592438994,0.08553507221327328,1.1465281245085774,0.25312426915912667,0.00176388736262324,1e-6,NA,0.5368499606728976,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.1265920826486635,0.09742712580362768,1.299351506107449,0.19551320149763107,0.00385203889230112,1e-6,NA,0.5355072494306766,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.05649595996913081,0.07460179270728867,-0.7573002996161391,0.4498769318908211,-0.00240180121025648,1e-6,NA,0.5394433569158325,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.05738358419858525,0.08301135147645987,-0.691273942393986,0.49029905709604193,-0.0029420026675861,1e-6,NA,0.5427894194323467,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.05978781094057961,0.0948723963453321,-0.6301918497236451,0.5293818047091321,-0.00339835369688396,1e-6,NA,0.5458838205137453,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01876908116453002,0.0681130752311425,0.275557682586448,0.7832092477335297,-0.00521848425667163,1e-6,NA,0.46046372584949424,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02119233944868615,0.07666627503336135,0.2764232309377793,0.7825455232453373,-0.00521577209763602,1e-6,NA,0.45899028108527784,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02443859916714785,0.08879672238265497,0.27521960846520555,0.7834685348138539,-0.00521954129160387,1e-6,NA,0.4571967325610656,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.14807951423934185,0.07614698941755725,1.9446535624322276,0.05340153794022839,0.01538694361446293,1e-6,NA,0.3707731500691483,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.17509851324836134,0.08513014361265478,2.056833288630005,0.04116945892312329,0.01782570842677249,1e-6,NA,0.36454414932506296,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.20646836920348477,0.09818319141619844,2.102889162853401,0.03688942656999838,0.01886287295387761,1e-6,NA,0.3637259627329278,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01966052317399747,0.07687464845388611,-0.2557478124376854,0.798442539802382,-0.00527823628887158,1e-6,NA,0.5135169631429414,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.0253869483848117,0.08634043268331545,-0.29403313830876265,0.7690770990570857,-0.00515874865227299,1e-6,NA,0.5126739120816379,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.03897227889667754,0.10033071008080129,-0.3884381847321845,0.69815860879468294,-0.00479317831443191,1e-6,NA,0.5105677234689716,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.07798846985052776,0.07192512814921515,1.0843007424155529,0.27970620366157073,9.86150704136981e-4,1e-6,NA,0.6063642963015933,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.08880753725722901,0.07944533422781257,1.1178445923906617,0.2651483113034616,0.00140015217759026,1e-6,NA,0.6049166472973545,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.09661716547442012,0.09043512396465483,1.0683588548204064,0.2868135623064054,7.936989947304594e-4,1e-6,NA,0.6064949109587117,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.12795780984305694,0.07300481143298071,1.752731187594721,0.08137957379791882,0.01150687419157672,1e-6,NA,0.4451064618304342,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.13806741744462858,0.08074119727928508,1.70999962964447,0.08901825075580838,0.01069394676382702,1e-6,NA,0.4459206868003553,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.1519490509702459,0.09250066071173654,1.642680709533208,0.10222435651636495,0.00945139141077545,1e-6,NA,0.445710706374696,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.11764109390210108,0.07994027126080293,1.4716123931866614,0.1429012934091869,0.00650595178869244,1e-6,NA,0.5281890923741162,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.1333309850577873,0.09056265551258276,1.4722512751325216,0.14272891060930615,0.00651638082759436,1e-6,NA,0.5232569297435407,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.15443936812798142,0.10549121294308582,1.4640022028309023,0.14496708215602427,0.00638205522762174,1e-6,NA,0.5213519015163876,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.1064502639228202,0.07355044470929531,1.4473095892697847,0.14957902802619216,0.00611243669601191,1e-6,NA,0.4826865758221581,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.12159324546108774,0.08151747826589345,1.4916217729954218,0.13757843564579364,0.00683462661132052,1e-6,NA,0.47706426275394426,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.1421797888570051,0.09374406521897916,1.5166804269143197,0.131131328957919,0.00725218739645789,1e-6,NA,0.4721666214515334,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.04239581023348204,0.0774890867204728,-0.5471197561847244,0.5849856082052256,-0.00395184760576937,1e-6,NA,0.5131325762193586,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.05177836534112501,0.08453199140189777,-0.6125298183849786,0.5409734156422099,-0.00352251750542132,1e-6,NA,0.5104261659972333,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.06619193196363238,0.09591711906441294,-0.6900950800991148,0.4910382462331153,-0.0029512052223791,1e-6,NA,0.5073479155341732,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.09317093768401909,0.07771127776060008,-1.1989371474632615,0.23215503913871727,0.00245156094122728,1e-6,NA,0.47724720856163005,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.10294000465450104,0.08728636752633405,-1.1793365627621557,0.23984695458262228,0.00219089018145543,1e-6,NA,0.478403600237914,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.11760987307735073,0.10165913711008465,-1.156904105432189,0.24887049739429368,0.00189766790395003,1e-6,NA,0.478603736902041,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00542926585131109,0.07254484588781096,-0.07484013212609668,0.9404264268575138,-0.00561789541545818,1e-6,NA,0.4975967083380596,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01201594357135249,0.0809349487890017,-0.14846421417622924,0.8821454299726748,-0.00552450061101628,1e-6,NA,0.49922936326941847,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.02840057307164834,0.09400930534727509,-0.30210384989799893,0.7629275840393819,-0.00513144030547215,1e-6,NA,0.5020134551395703,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00483977055125528,0.07115136453763563,0.06802076928117493,0.9458458793764332,-0.00562343026168629,1e-6,NA,0.5054176784365313,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00392550011080761,0.07791021257830001,0.05038492363067898,0.9598724633332532,-0.00563529408748496,1e-6,NA,0.5053916992236085,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,7.019821018072747e-4,0.08823958874065706,0.0079554099449676,0.9936615274842407,-0.00564935793171161,1e-6,NA,0.505114860117005,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00256778534132884,0.07672363379949643,0.03346798390753094,0.9733391078412944,-0.00564335351920577,1e-6,NA,0.456132575598463,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02040383038856053,0.08728327733612246,0.23376563084342775,0.8154370839386385,-0.00533933251240422,1e-6,NA,0.4640156014216703,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04006365338018014,0.10152208616266235,0.3946299262998664,0.6935911265386328,-0.00476567824267382,1e-6,NA,0.467532363587692,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01639409301115435,0.06951781257677131,0.2358257891536748,0.8138405053480731,-0.00533383933379028,1e-6,NA,0.4779697217122474,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01755099841110574,0.07768162551916104,0.22593500449828507,0.8215126516393865,-0.00535977274252112,1e-6,NA,0.4781209541853358,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.01619548263622405,0.08927468971134984,0.1814118053906275,0.856251926984374,-0.00546276822505273,1e-6,NA,0.4791203142640525,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.11570279089295,0.07279517527869693,1.5894293880051926,0.11374807690941012,0.00850173985847313,1e-6,NA,0.6412779989520684,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.14074397840347697,0.08095076330061456,1.73863682891806,0.08383749076083236,0.01123667319298805,1e-6,NA,0.6345521258489487,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.17352859405234256,0.0928550528223236,1.868811537745676,0.06330124109852964,0.01380920073373389,1e-6,NA,0.6241160229692985,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.0430830279279446,0.0763214829336195,0.5644941145262601,0.5731325598340928,-0.00384249700080474,1e-6,NA,0.5751122592558969,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04060255644743016,0.0858385130722926,0.47301094804886673,0.6367881556466422,-0.00438011660199899,1e-6,NA,0.576454617508321,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03394312603187544,0.09900097804451992,0.3428564717472942,0.7321132778857478,-0.00498228118551584,1e-6,NA,0.5793926690429492,amphibians,high,Deserts_and_xeric_shrublands,specialization
